1	555526638.390589
z03mangahere	14 Sai No Koi	37.5	545980236.959086	L	http://www.mangahere.cc/manga/14_sai_no_koi/	545980236.959086
1		522771234.107092	522775281.656420
1.5		522775281.697090	522775310.125051
1.6		522775310.167963	522775360.861796
2		522775360.906510	522789679.427449
3		522789679.472238	522790301.326881
3.5		522790301.357158	522790333.082044
3.6		522790333.122586	522790372.567240
4		522790372.603710	522790496.225341
5		522790496.261389	522790566.413466
5.5		522790566.460014	522790619.950915
5.6		522790619.984312	522790705.872573
5.7		522790705.912947	522790740.958023
5.8		522790741.002292	522790844.534211
9		522793213.927281	522793352.137981
6		522790844.574503	522790949.373788
7		522790949.418672	522791003.744371
7.5		522791003.784301	522791058.081269
7.6		522791058.124237	522793091.694137
7.7		522793153.313464	522793184.149878
8		522793184.190864	522793213.885429
9.5		522793352.165606	522793409.061342
9.6		522793409.100607	522793429.279602
10		522793429.321578	522793535.327857
11		522804948.821371	522805035.186643
11.5		522805035.207746	522805080.839836
11.6		522805080.865927	522805268.573705
12		522805268.610986	522805370.979048
13		522805371.024403	522805402.997876
13.5		522805403.041247	522805426.966055
13.6		522805427.009011	522805441.950292
13.7		522805441.991062	522805464.188396
13.8		522805464.224611	522805479.373677
14	1	522805479.418299	522830900.011982
14.5		511196428.009565	511196530.512006
14.6		511196530.905489	511196571.113205
15		511196571.737341	511196591.233563
16		511196591.704087	511196752.461091
16.5		511196753.167154	511196863.484639
16.6		511196863.841149	511196888.069225
17		511196888.425224	511196974.641535
17.5		511196975.375401	511197015.111936
17.6		511197015.824683	511197042.112316
18.5		511197096.606719	511197122.217908
18		511197042.615364	511197095.999411
18.6		511197122.607029	511197146.568121
19		511197146.948644	511197235.975896
20		511197236.660890	511197283.228021
21.5		511197444.614963	511197534.107530
21		511197283.883402	511197444.218813
22		511197534.760011	511197654.715766
22.5		511197655.382719	511197690.734740
22.6		511197691.315334	511197778.407011
22.7		511197779.120156	511197836.311052
22.8		511197836.938644	511197867.079383
23		511197867.484413	511197982.720252
23.5		511197983.366962	511198050.906747
23.6		511198051.224482	511198100.211731
23.7		511198100.802737	511198136.747300
24		511198137.115508	511198165.916120
25		511198166.297453	511198226.455051
25.6		511198271.921774	511198299.010296
25.5		511198227.114898	511198271.275079
26		511198299.518870	511198758.091631
29		511199076.595363	511199189.845365
29.1		511199190.553372	511199218.080404
26.1		511198758.682505	511198764.978510
26.2		511198773.378812	511198778.878436
26.3		511198779.243576	511198805.193662
26.4		511198805.564931	511198819.044686
26.5		511198819.746177	511198889.216036
27		511198889.856861	511198964.530259
28		511198965.173106	511199008.716904
28.1		511199009.340233	511199027.364346
28.2		511199027.694342	511199060.351516
28.3		511199060.689670	511199076.251645
30		511199343.953968	511199395.871065
29.5		511199218.458504	511199313.346506
29.6		511199314.048831	511199343.583640
30.5		511199396.252599	511199423.305909
31		511199452.609421	511199588.800675
32		511199589.452246	511199608.167733
32.5		511199608.519368	511199628.115247
30.6		511199423.702539	511199452.057774
32.6		511199628.433074	511199651.387431
32.7	8	511199651.753004	511199691.941921
33		512780833.473045	512780835.857978
34		512811898.047335	512811901.452872
34.5	10	512811902.246658	512811959.845427
34.6	11	516436278.570182	516436427.402189
34.7	8	519311729.103211	519311772.104596
35	38	526224851.867041	526225030.203265
35.5	4	526392497.459652	526392532.373835
35.6		528212068.369407	528212161.164892
35.7	11	528212162.251739	528212224.071858
34.8	8	531763544.611670	531764335.849360
VOL2 8		540066600.194694	540066600.194694
36	28	543044422.315077	543044581.080309
37	8	545954795.953285	545954842.341200
37.5	8	545980236.959086	545980282.615707
