1	568600876.818568
z03mangahere	"Aoi" - Hikaru ga Chikyuu ni Itakoro......	http://www.mangahere.com/manga/aoi_hikaru_ga_chikyuu_ni_itakoro/	N	464269727.460043
z03mangahere	#shin5 - Kekkonshite mo Koishiteru	http://www.mangahere.cc/manga/shin5_kekkonshite_mo_koishiteru/	N	555526194.311443
z13mangadex	1-nen A-gumi no Monster	https://mangadex.org/title/24570/1-nen-a-gumi-no-monster	R	562172136.908174
z03mangahere	1/11	http://www.mangahere.cc/manga/1_11/	N	555526601.697316
z13mangadex	1/11	https://mangadex.org/title/3547/1-11	Y	557000136.675430
z03mangahere	1/2 Prince	http://www.mangahere.co/manga/1_2_prince/	N	464269540.716938
z03mangahere	14 Sai No Koi	http://www.mangahere.cc/manga/14_sai_no_koi/	N	555526640.103930
z13mangadex	17-sai.	https://mangadex.org/title/518/17-sai/	N	557461075.601993
z03mangahere	2.5 Jigen Kareshi	http://www.mangahere.cc/manga/2_5_jigen_kareshi/	N	555526690.361747
z13mangadex	2.5 Jigen Kareshi	https://mangadex.org/title/13972/2-5-jigen-kareshi	Y	556727074.285086
z13mangadex	20th Century Boys	https://mangadex.org/title/843/20th-century-boys	Y	556041102.225505
z13mangadex	21st Century Boys	https://mangadex.org/title/1591/21st-century-boys	Y	556043489.851178
z09mangatown	29 to JK	http://m.mangatown.com/manga/29_to_jk	N	555004321.026561
z13mangadex	29 to JK	https://mangadex.org/title/24213/29-to-jk	R	555280184.617953
z13mangadex	3-Gatsu no Lion	https://mangadex.org/title/528/3-gatsu-no-lion	R	555522042.336031
z03mangahere	360 Degrees Material	http://www.mangahere.com/manga/360_degrees_material/	N	513615244.148965
z03mangahere	3D Kanojo	http://www.mangahere.com/manga/3d_kanojo/	N	513615248.633338
z13mangadex	5Toubun no Hanayome	https://mangadex.org/title/20679/5toubun-no-hanayome	R	556660538.369904
z13mangadex	7 Jikanme no Note	https://mangadex.org/title/14162/7-jikanme-no-note	Y	555526733.651703
z03mangahere	7 Jikanme no Onpu	http://www.mangahere.cc/manga/7_jikanme_no_onpu/	N	555526740.434444
z03mangahere	A Bitch and a Punk	http://www.mangahere.cc/manga/a_bitch_and_a_punk/	N	555526785.553789
z13mangadex	A Bitch and a Punk	https://mangadex.org/title/19121/a-bitch-and-a-punk	R	555526773.430860
