1	562741238.829381
z13mangadex	Sekitou Elegy	66	562741142.249240	L	https://mangadex.org/title/869/sekitou-elegy	562741142.249240
65	019	558311973.531799	558312036.611733
64		558312043.109369	558312043.109369
63		558312043.109369	558312043.109369
62		558312043.109369	558312043.109369
61		558312043.109369	558312043.109369
60		558312043.109369	558312043.109369
59		558312043.109369	558312043.109369
58		558312043.109369	558312043.109369
57		558312043.109369	558312043.109369
56		558312043.109369	558312043.109369
55		558312043.109369	558312043.109369
54		558312043.109369	558312043.109369
53		558312043.109369	558312043.109369
52		558312043.109369	558312043.109369
51		558312043.109369	558312043.109369
50		558312043.109369	558312043.109369
49		558312043.109369	558312043.109369
48		558312043.109369	558312043.109369
47		558312043.109369	558312043.109369
46		558312043.109369	558312043.109369
45		558312043.109369	558312043.109369
44		558312043.109369	558312043.109369
43		558312043.109369	558312043.109369
42		558312043.109369	558312043.109369
41		558312043.109369	558312043.109369
40		558312043.109369	558312043.109369
39		558312043.109369	558312043.109369
38		558312043.109369	558312043.109369
37		558312043.109369	558312043.109369
36		558312043.109369	558312043.109369
35		558312043.109369	558312043.109369
34		558312043.109369	558312043.109369
33		558312043.109369	558312043.109369
32		558312043.109369	558312043.109369
31		558312043.109369	558312043.109369
30		558312043.109369	558312043.109369
29		558312043.109369	558312043.109369
28		558312043.109369	558312043.109369
27		558312043.109369	558312043.109369
26		558312043.109369	558312043.109369
25		558312043.109369	558312043.109369
24		558312043.109369	558312043.109369
23		558312043.109369	558312043.109369
22		558312043.109369	558312043.109369
21		558312043.109369	558312043.109369
20		558312043.109369	558312043.109369
19		558312043.109369	558312043.109369
18		558312043.109369	558312043.109369
17		558312043.109369	558312043.109369
16		558312043.109369	558312043.109369
15		558312043.109369	558312043.109369
14		558312043.109369	558312043.109369
13		558312043.109369	558312043.109369
12		558312043.109369	558312043.109369
11		558312043.109369	558312043.109369
10		558312043.109369	558312043.109369
9		558312043.109369	558312043.109369
8		558312043.109369	558312043.109369
7		558312043.109369	558312043.109369
6		558312043.109369	558312043.109369
5		558312043.109369	558312043.109369
4		558312043.109369	558312043.109369
3		558312043.109369	558312043.109369
2		558312043.109369	558312043.109369
1		558312043.109369	558312043.109369
z10readmangatoday	One Piece	916.000000	557414732.082146
z13mangadex	The Story of an Onee-San Who Wants to Keep a High School Boy. (Webcomic)	6.000000	555009102.489027
z01mangaeden	Shingeki no Kyojin	104.000000	545058651.098707
z12mangakoi	Our Relationship Is...	89.000000	537171022.480418
z09mangatown	World Trigger	109.000000	505643475.589148
mangafoxmb	Nisekoi	221.000000	487434663.779810
z05mangapanda	Naruto	505.000000	469087498.710995
z06kissmanga	Naruto	700.000000	468866426.555602
mangafox	World Trigger	109.000000	459323564.702774
mangareader	Parasyte	13.000000	437546783.564730
z02batoto	Oukoku Game	0.000000	429161060.859603
z03mangahere	Sidonia no Kishi	1.000000	428124878.962915
66	022	562741142.249240	562741237.192565
